Fri Jan 29 15:37:34 CST 2016
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1454066278931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066283929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066288931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066293930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066298931,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066303933,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066308932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066313934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066318930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066323934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066328932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066282462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066287463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066292460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066297462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066302461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066307462,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066312461,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066317461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066322461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066327461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066332461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066337463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066342460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066333932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066338934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066343931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066348932,5,200,5,0,17,0,0,0,0,0,0,0,0
